ssn,cc_num,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,acct_num,profile,trans_num,trans_date,trans_time,unix_time,category,amt,is_fraud,merchant,merch_lat,merch_long
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,7ebf767eb34fd1b7f330c4de7e629618,2023-01-04,01:03:57,1672774437,grocery_pos,324.91,1,fraud_Pacocha-O'Reilly,42.44453,-85.050771
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,2f9e73dff226b1803ac7f3a73786ab62,2023-01-04,01:58:30,1672777710,grocery_pos,311.2,1,fraud_Barton Inc,42.844696,-85.543853
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,5353eca91a8a40e7b9b51e6d0a5322c1,2023-01-04,22:43:12,1672852392,misc_net,309.06,1,fraud_Huel Ltd,42.608906,-84.731015
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,39480a9721b0d2b26512cf85ba774111,2023-01-05,23:40:29,1672942229,shopping_pos,873.7,1,"fraud_Roob, Conn and Tremblay",41.994529,-84.909529
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,d2aa30886620c22c54262573d8dddb6e,2023-01-04,22:49:08,1672852748,misc_net,852.84,1,"fraud_Parisian, Schiller and Altenwerth",42.716131,-85.358266
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,77a3a27a097eb2893b639645693352d7,2023-01-05,23:36:44,1672942004,shopping_pos,894.64,1,"fraud_Baumbach, Strosin and Nicolas",42.121136,-84.5951
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,c2dc08b79637785b50a13431d08b7063,2023-01-05,22:09:22,1672936762,shopping_pos,8.05,1,"fraud_Daugherty, Pouros and Beahan",43.004781,-84.911008
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,c1294ab11478fcf80e4139f63b3c2720,2023-01-05,23:34:07,1672941847,misc_pos,976.1,1,fraud_Stamm-Rodriguez,42.828556,-84.870223
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,ab4df82701cd169df8eb09ad63298add,2023-01-04,23:59:29,1672856969,grocery_pos,989.98,1,fraud_Deckow-O'Conner,42.19408,-84.559088
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,08480646b436534f32c4104604719b7c,2023-01-05,22:08:08,1672936688,shopping_pos,923.9,1,fraud_Denesik and Sons,42.73955,-84.164704
715-55-5575,4351161559407816183,Edward,Fuller,M,310 Kendra Common Apt. 164,Grand Ledge,MI,48837,42.7529,-84.7373,18926,Professor Emeritus,1968-06-07,917558277935,adults_50up_male_urban.json,fe69bcbe1f23496c9cc834dea18d68dc,2023-01-04,22:34:38,1672851878,misc_net,851.4,1,fraud_Donnelly PLC,43.465534,-85.684041
